,name,image,acreage,price,region,tags,scrape_date
70,Sao Luis Island Pair,https://www.privateislandsonline.com/uploads/resize/_2979_6217a872e9f4f.jpg-1074-822.jpg,17,15000000.0,"Brazil, South America","Islands with Beaches,Ocean Island,Income Potential",2023-02-19
71,Loloma Beachfront Development,https://www.privateislandsonline.com/uploads/resize/_2832_5f763f0a969c3.jpg-1074-822.jpg,1528,15000000.0,"Fiji, South Pacific","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
74,Alder Cay,https://www.privateislandsonline.com/uploads/resize/_2100_58669af98def3.jpg-1074-822.jpg,43,15000000.0,"The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
75,Cebaco Island,https://www.privateislandsonline.com/uploads/resize/_1205_5bb79f765658e.jpg-1074-822.jpg,7410,15000000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential,Mainland Lot",2023-02-19
77,Deer Caye,https://www.privateislandsonline.com/uploads/resize/_2804_5eed20d83d6cb.jpg-1074-822.jpg,603,14995000.0,"Belize, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
78,Jwycesska Island,https://www.privateislandsonline.com/uploads/resize/_2700_5dbb1ec6dde92.jpg-1074-822.jpg,351,14950000.0,"The Abacos, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
87,Ilha da Sororoca,https://www.privateislandsonline.com/uploads/resize/_3080_62f3cff02c6a5.jpg-1074-822.jpg,30,12500000.0,"Brazil, South America",Ocean Island,2023-02-19
88,1500 Hectares Island Property,https://www.privateislandsonline.com/uploads/resize/_2827_5f6a54bec2923.jpg-1074-822.jpg,3707,12500000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
89,The Bay,https://www.privateislandsonline.com/uploads/resize/_2925_60e739c33296e.jpg-1074-822.jpg,148,12000000.0,"Costa Rica, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
90,The Bay,https://www.privateislandsonline.com/uploads/resize/_2925_60e739c33296e.jpg-1074-822.jpg,148,12000000.0,"Costa Rica, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
91,Nananu-I-Cake,https://www.privateislandsonline.com/uploads/resize/_1403_6356e50b2b418.jpg-1074-822.jpg,575,12000000.0,"Fiji, South Pacific","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2023-02-19
92,An Island Within An Island,https://www.privateislandsonline.com/uploads/resize/_2718_5ee7bc4cdf086.JPG-1074-822.JPG,14,12000000.0,"Bahamas, Caribbean","Large Acreage,Ocean Island",2023-02-19
93,Water Caye,https://www.privateislandsonline.com/uploads/resize/_684_image_020821d040.jpg-1074-822.jpg,567,12000000.0,"Belize, Central America","Large Acreage,Ocean Island",2023-02-19
94,"Green Island, Georgia",https://www.privateislandsonline.com/uploads/resize/_2838_5fb3f2b973e85.jpg-1074-822.jpg,450,11500000.0,"Georgia, United States","Large Acreage,Ocean Island,Historic,Income Potential",2023-02-19
97,Spalathronisi Island,https://www.privateislandsonline.com/uploads/resize/_2457_5be5b0995e66f.jpg-1074-822.jpg,26,10000000.0,"Greece, Europe","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
98,Isla Puerco,https://www.privateislandsonline.com/uploads/resize/_826_587657310b840.jpg-1074-822.jpg,160,11000000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
100,Punta Loros,https://www.privateislandsonline.com/uploads/resize/_2924_60e73a4e3f9f0.jpg-1074-822.jpg,460,10900000.0,"Costa Rica, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
102,Toad Hall Estate,https://www.privateislandsonline.com/uploads/resize/_1819_image_7c8cf5f011.jpg-1074-822.jpg,6,10000000.0,"British Virgin Islands, Caribbean","Income Producing,Turn Key",2023-02-19
108,"Coconut Palm Bay, The Ultimate Private Island Style Retreat",https://www.privateislandsonline.com/uploads/resize/_3074_62deddcb23009.jpg-1074-822.jpg,14,9995000.0,"The Abacos, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
109,Great Sale Cay,https://www.privateislandsonline.com/uploads/resize/_898_image_a91e5e6cfc.jpg-1074-822.jpg,370,9900000.0,"The Abacos, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2023-02-19
110,Devils Cay,https://www.privateislandsonline.com/uploads/resize/_902_image_c458691ab3.jpg-1074-822.jpg,117,9500000.0,"The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2023-02-19
112,Half Moon Cay,https://www.privateislandsonline.com/uploads/resize/_2635_5d1b80f64c23e.JPG-1074-822.JPG,10,9000000.0,"Honduras, Central America","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
114,Sandy Island,https://www.privateislandsonline.com/uploads/resize/_1787_image_d0610bf540.jpg-1074-822.jpg,20,9000000.0,"Grenada, Caribbean",,2023-02-19
116,Lumber Cay,https://www.privateislandsonline.com/uploads/resize/_2740_5ec585b5de987.jpg-1074-822.jpg,30,8600000.0,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
119,"Hog Island, Florida",https://www.privateislandsonline.com/uploads/resize/_3113_6377fb386f24d.jpg-1074-822.jpg,224,8000000.0,"Florida, United States","Large Acreage,Lake Island,Turn Key,Income Potential,Mainland Lot,Mainland Power",2023-02-19
124,Katitche Point Greathouse,https://www.privateislandsonline.com/uploads/resize/_2002_5867c22ac0204.jpg-1074-822.jpg,1,7950000.0,"British Virgin Islands, Caribbean","Income Producing,Turn Key",2023-02-19
125,Wroten Island,https://www.privateislandsonline.com/uploads/resize/_3046_62a379e962293.jpg-1074-822.jpg,574,7900000.0,"Maryland, United States","Islands with Beaches,Airstrip or Fly-in,Large Acreage,River Island,Turn Key,Income Potential",2023-02-19
126,Powell Cay,https://www.privateislandsonline.com/uploads/resize/_1614_image_d1e3cfaa39.jpg-1074-822.jpg,294,7895000.0,"The Abacos, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2023-02-19
127,Woodmere Island,https://www.privateislandsonline.com/uploads/resize/_1459_image_8148017b4f.jpg-1074-822.jpg,5,7895000.0,"Muskoka, Ontario, Canada","Lake Island,Seasonal,Turn Key,Income Potential,Mainland Power",2023-02-19
129,Cooper Bay Land,https://www.privateislandsonline.com/uploads/resize/_3097_633f282851605.jpg-1074-822.jpg,64,7500000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
131,Petit Trou Peninsula,https://www.privateislandsonline.com/uploads/resize/_1174_5fb40030a79c3.jpg-1074-822.jpg,50,7500000.0,"Grenada, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
132,Wild Berry Cay,https://www.privateislandsonline.com/uploads/resize/_1964_639c9a8c54f89.jpg-1074-822.jpg,90,7500000.0,"The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2023-02-19
133,Parida Island,https://www.privateislandsonline.com/uploads/resize/_2297_59aeea773d8d5.PNG-1074-822.PNG,217,7500000.0,"Panama, Central America","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island,Turn Key,Income Potential",2023-02-19
134,Sawyer's Cay,https://www.privateislandsonline.com/uploads/resize/_930_image_759eaf43be.jpg-1074-822.jpg,6,7050000.0,"Eleuthera, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2023-02-19
142,40-acre Beachfront Property on Ambergris Caye,https://www.privateislandsonline.com/uploads/resize/_2650_5d4c7c1b1a5ab.JPG-1074-822.JPG,40,6999500.0,"Belize, Central America","Islands with Beaches,Large Acreage,Ocean Island,Mainland Power",2023-02-19
144,Sand Dollar Cay,https://www.privateislandsonline.com/uploads/resize/_908_6387a9523fdc6.jpg-1074-822.jpg,24,6900000.0,"The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2023-02-19
145,Batchawana Island,https://www.privateislandsonline.com/uploads/resize/_2413_60b8f251100c5.jpg-1074-822.jpg,5200,6850000.0,"Ontario, Canada","Large Acreage,Lake Island",2023-02-19
146,Belle Island & Cubbage Island,https://www.privateislandsonline.com/uploads/resize/_2205_59cd564e7e351.jpg-1074-822.jpg,264,6800000.0,"Georgia, United States","Large Acreage,River Island,Historic",2023-02-19
147,Tigertail Island,https://www.privateislandsonline.com/uploads/resize/_2971_61d8623d62e9d.jpg-1074-822.jpg,15,6750000.0,"Florida, United States","River Island,Turn Key,Income Potential",2023-02-19
148,Rose Cay,https://www.privateislandsonline.com/uploads/resize/_3033_62950cc466218.jpg-1074-822.jpg,67,6700000.0,"Honduras, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
149,Nail Bay Land,https://www.privateislandsonline.com/uploads/resize/_1818_5867c5876a2df.jpg-1074-822.jpg,60,6200000.0,"British Virgin Islands, Caribbean","Large Acreage,Ocean Island,Income Potential",2023-02-19
151,Medio Island,https://www.privateislandsonline.com/uploads/resize/placeholder2-1074-822.jpeg,99,6000000.0,"Philippines, Asia","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
156,Loblolly,https://www.privateislandsonline.com/uploads/resize/_3015_62827a6671034.jpg-1074-822.jpg,7,6000000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
157,Kelefesia Island,https://www.privateislandsonline.com/uploads/resize/_460_image_3dd7a9c138.jpg-1074-822.jpg,32,6000000.0,"Tonga, South Pacific","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
161,Janoyoy Island,https://www.privateislandsonline.com/uploads/resize/_2423_5b186d280d457.jpg-1074-822.jpg,4,5600000.0,"Philippines, Asia","Islands with Beaches,Ocean Island",2023-02-19
165,Roberts Cay,https://www.privateislandsonline.com/uploads/resize/_917_image_ce1186328a.jpg-1074-822.jpg,20,5250000.0,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2023-02-19
166,Celestial House,https://www.privateislandsonline.com/uploads/resize/_2765_5e8f7ce24a860.jpg-1074-822.jpg,3,5250000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
167,Cooper Bay Villas,https://www.privateislandsonline.com/uploads/resize/_2839_5f8753bfe1466.jpg-1074-822.jpg,2,5200000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
168,Stroggilo Island,https://www.privateislandsonline.com/uploads/resize/_1477_image_658246f805.jpg-1074-822.jpg,54,4500000.0,"Greece, Europe","Large Acreage,Ocean Island,Mainland Power",2023-02-19
171,Hawks Nest Seaside Oasis,https://www.privateislandsonline.com/uploads/resize/_2850_5fa30b3b607f6.jpg-1074-822.jpg,2,5000000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
181,Surfsong Estate,https://www.privateislandsonline.com/uploads/resize/_2779_5ec5758ebec3c.jpg-1074-822.jpg,4,5000000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
183,Pierre Island,https://www.privateislandsonline.com/uploads/resize/_897_5dd8384c86f6a.jpg-1074-822.jpg,16,4950000.0,"Eleuthera, Bahamas, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2023-02-19
184,Rhumb House,https://www.privateislandsonline.com/uploads/resize/_2763_5e83783e9bba1.jpg-1074-822.jpg,2,4950000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
185,White Island,https://www.privateislandsonline.com/uploads/resize/_2790_60b8f4e88e75b.jpg-1074-822.jpg,10,4950000.0,"Grenada, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
186,Vargas Island,https://www.privateislandsonline.com/uploads/resize/_3108_636aaf8a9a7b1.jpg-1074-822.jpg,56,7000000.0,"British Columbia, Canada","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
187,Soneva Jani,https://www.privateislandsonline.com/uploads/resize/_2313_60e8601894101.jpg-1074-822.jpg,1,4750000.0,"Maldives, Asia","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
188,Bainema Paradise Beach Villa,https://www.privateislandsonline.com/uploads/resize/_1775_image_4163c93cf8.jpg-1074-822.jpg,158,4680000.0,"Brazil, South America","Large Acreage,Ocean Island,Turn Key,Income Potential",2023-02-19
189,Isla Brava,https://www.privateislandsonline.com/uploads/resize/_1224_5c2e1d2204892.JPG-1074-822.JPG,140,4600000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
191,Norway Island,https://www.privateislandsonline.com/uploads/resize/_2987_62337e220bf84.JPG-1074-822.JPG,30,6500000.0,"British Columbia, Canada","Large Acreage,Ocean Island,Income Potential",2023-02-19
192,Ligpo Island,https://www.privateislandsonline.com/uploads/resize/_2378_5b06ce31e24c4.jpg-1074-822.jpg,1,4500000.0,"Philippines, Asia","Ocean Island,Turn Key,Income Potential,Mainland Power",2023-02-19
195,"Hawks Nest Cay, 26 acres",https://www.privateislandsonline.com/uploads/resize/_2491_5b96eb15ef2eb.jpg-1074-822.jpg,26,4500000.0,"The Berry Islands, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
197,Valiha Island,https://www.privateislandsonline.com/uploads/resize/_1318_image_82cb18ad66.jpg-1074-822.jpg,950,4000000.0,"Madagascar, Africa","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
198,Lake Saimaa Development,https://www.privateislandsonline.com/uploads/resize/_2608_5cd9ceb30f1bc.jpg-1074-822.jpg,256,4400000.0,"Finland, Europe","Large Acreage,Lake Island",2023-02-19
199,Zama Caye,https://www.privateislandsonline.com/uploads/resize/_3085_6301168cdd4b6.jpeg-1074-822.jpeg,4,4250000.0,"Belize, Central America","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
